greenery,water,urban,lat,lon,patch_idx
7.575555556,1.095555556,91.32888889,40.776121,-73.979709,ny_83
16.27777778,0.1066666667,83.61555556,40.774943,-73.979709,ny_84
10.41,0.8411111111,88.74888889,40.773765,-73.979709,ny_85
5.942222222,3.087777778,90.97,40.772587,-73.979709,ny_86
16.76888889,2.467777778,80.76333333,40.771409,-73.979709,ny_87
49.02555556,1.216666667,49.75777778,40.770231,-73.979709,ny_88
57.84555556,2.03,40.12444444,40.769052,-73.979709,ny_89
55.13444444,3.491111111,41.37444444,40.767874,-73.979709,ny_90
4.362222222,5.041111111,90.59666667,40.766696,-73.979709,ny_91
0,4.237777778,95.76222222,40.765518,-73.979709,ny_92
0.001111111111,6.076666667,93.92222222,40.764339,-73.979709,ny_93
1.667777778,15.35444444,82.97777778,40.763161,-73.979709,ny_94
3.36,10.91888889,85.72111111,40.761983,-73.979709,ny_95
0,6.215555556,93.78444444,40.760805,-73.979709,ny_96
0.42,0.7277777778,98.85222222,40.759626,-73.979709,ny_97
2.617777778,5.713333333,91.66888889,40.758448,-73.979709,ny_98
0,4.178888889,95.82111111,40.757269,-73.979709,ny_99
0,0.6522222222,99.34777778,40.756091,-73.979709,ny_100
0,1.195555556,98.80444444,40.754913,-73.979709,ny_101
0,2.102222222,97.89777778,40.753734,-73.979709,ny_102
0.06444444444,1.68,98.25555556,40.752556,-73.979709,ny_103
2.168888889,2.793333333,95.03777778,40.751377,-73.979709,ny_104
6.367777778,1.633333333,91.99888889,40.750199,-73.979709,ny_105
13.53333333,2.774444444,83.69222222,40.74902,-73.979709,ny_106
14.34111111,1.017777778,84.64111111,40.747842,-73.979709,ny_107
3.328888889,1.413333333,95.25777778,40.746663,-73.979709,ny_108
1.472222222,2.044444444,96.48333333,40.745484,-73.979709,ny_109
12.71555556,2.903333333,84.38111111,40.744306,-73.979709,ny_110
1.222222222,11.34666667,87.43111111,40.786723,-73.97814,ny_111
1.865555556,8.527777778,89.60666667,40.785545,-73.97814,ny_112
4.394444444,0.5044444444,95.10111111,40.784367,-73.97814,ny_113
3.012222222,1.064444444,95.92333333,40.783189,-73.97814,ny_114
22.53555556,0.53,76.93444444,40.782011,-73.97814,ny_115
12.92666667,4.613333333,82.46,40.780833,-73.97814,ny_116
6.995555556,4.183333333,88.82111111,40.779655,-73.97814,ny_117
5.898888889,6.915555556,87.18555556,40.778477,-73.97814,ny_118
3.05,11.40333333,85.54666667,40.777299,-73.97814,ny_119
10.44555556,1.22,88.33444444,40.776121,-73.97814,ny_120
7.762222222,0.9122222222,91.32555556,40.774943,-73.97814,ny_121
20.39555556,0.1344444444,79.47,40.773765,-73.97814,ny_122
31.01666667,0.5677777778,68.41555556,40.772587,-73.97814,ny_123
53.32666667,2.493333333,44.18,40.771409,-73.97814,ny_124
55.50333333,0.5877777778,43.90888889,40.770231,-73.97814,ny_125
53.37444444,1.888888889,44.73666667,40.769052,-73.97814,ny_126
56.15,1.812222222,42.03777778,40.767874,-73.97814,ny_127
33.30222222,2.81,63.88777778,40.766696,-73.97814,ny_128
0.002222222222,3.673333333,96.32444444,40.765518,-73.97814,ny_129
0.002222222222,2.907777778,97.09,40.764339,-73.97814,ny_130
0.001111111111,8.127777778,91.87111111,40.763161,-73.97814,ny_131
1.328888889,7.594444444,91.07666667,40.761983,-73.97814,ny_132
2.435555556,9.283333333,88.28111111,40.760805,-73.97814,ny_133
2.278888889,5.84,91.88111111,40.759626,-73.97814,ny_134
4.346666667,5.823333333,89.83,40.758448,-73.97814,ny_135
0.1,7.524444444,92.37555556,40.757269,-73.97814,ny_136
0.001111111111,2.07,97.92888889,40.756091,-73.97814,ny_137
0,2.008888889,97.99111111,40.754913,-73.97814,ny_138
0.55,2.063333333,97.38666667,40.753734,-73.97814,ny_139
7.081111111,0.3933333333,92.52555556,40.752556,-73.97814,ny_140
0.5644444444,4.572222222,94.86333333,40.751377,-73.97814,ny_141
4.96,0.6188888889,94.42111111,40.750199,-73.97814,ny_142
6.117777778,2.82,91.06222222,40.74902,-73.97814,ny_143
7.567777778,1.01,91.42222222,40.747842,-73.97814,ny_144
4.626666667,0.9511111111,94.42222222,40.746663,-73.97814,ny_145
3.072222222,0.8722222222,96.05555556,40.745484,-73.97814,ny_146
10.10333333,2.767777778,87.12888889,40.744306,-73.97814,ny_147
2.162222222,3.067777778,94.77,40.786723,-73.976571,ny_148
3.918888889,4.498888889,91.58222222,40.785545,-73.976571,ny_149
9.1,1.49,89.41,40.784367,-73.976571,ny_150
10.82666667,0.04555555556,89.12777778,40.783189,-73.976571,ny_151
7.633333333,0.2366666667,92.13,40.782011,-73.976571,ny_152
11.15888889,6.496666667,82.34444444,40.780833,-73.976571,ny_153
6.043333333,6.3,87.65666667,40.779655,-73.976571,ny_154
7.596666667,2.513333333,89.89,40.778477,-73.976571,ny_155
1.423333333,8.827777778,89.74888889,40.777299,-73.976571,ny_156
10.59666667,2.21,87.19333333,40.776121,-73.976571,ny_157
43.92444444,0.9411111111,55.13444444,40.774943,-73.976571,ny_158
68.90888889,1.241111111,29.85,40.773765,-73.976571,ny_159
65.76555556,0.1455555556,34.08888889,40.772587,-73.976571,ny_160
66.83888889,0.9422222222,32.21888889,40.771409,-73.976571,ny_161
68.34777778,1.006666667,30.64555556,40.770231,-73.976571,ny_162
62.76666667,1.698888889,35.53444444,40.769052,-73.976571,ny_163
56.18666667,1.183333333,42.63,40.767874,-73.976571,ny_164
55.59444444,2.034444444,42.37111111,40.766696,-73.976571,ny_165
6.867777778,4.168888889,88.96333333,40.765518,-73.976571,ny_166
0.1066666667,4.812222222,95.08111111,40.764339,-73.976571,ny_167
0.1644444444,5.327777778,94.50777778,40.763161,-73.976571,ny_168
5.136666667,4.481111111,90.38222222,40.761983,-73.976571,ny_169
0.44,2.203333333,97.35666667,40.760805,-73.976571,ny_170
0.001111111111,9.056666667,90.94222222,40.759626,-73.976571,ny_171
3.057777778,3.467777778,93.47444444,40.758448,-73.976571,ny_172
0.05111111111,9.362222222,90.58666667,40.757269,-73.976571,ny_173
1.89,3.923333333,94.18666667,40.756091,-73.976571,ny_174
