lat,lon,patch_idx
40.756091,-73.976571,ny_174
40.754913,-73.976571,ny_175
40.753734,-73.976571,ny_176
40.752556,-73.976571,ny_177
40.751377,-73.976571,ny_178
40.750199,-73.976571,ny_179
40.74902,-73.976571,ny_180
40.747842,-73.976571,ny_181
40.746663,-73.976571,ny_182
40.745484,-73.976571,ny_183
40.744306,-73.976571,ny_184
40.786723,-73.975002,ny_185
40.785545,-73.975002,ny_186
40.784367,-73.975002,ny_187
40.783189,-73.975002,ny_188
40.782011,-73.975002,ny_189
40.780833,-73.975002,ny_190
40.779655,-73.975002,ny_191
40.778477,-73.975002,ny_192
40.777299,-73.975002,ny_193
40.776121,-73.975002,ny_194
40.774943,-73.975002,ny_195
40.773765,-73.975002,ny_196
40.772587,-73.975002,ny_197
40.771409,-73.975002,ny_198
40.770231,-73.975002,ny_199
40.769052,-73.975002,ny_200
40.767874,-73.975002,ny_201
40.766696,-73.975002,ny_202
40.765518,-73.975002,ny_203
40.764339,-73.975002,ny_204
40.763161,-73.975002,ny_205
40.761983,-73.975002,ny_206
40.760805,-73.975002,ny_207
40.759626,-73.975002,ny_208
40.758448,-73.975002,ny_209
40.757269,-73.975002,ny_210
40.756091,-73.975002,ny_211
40.754913,-73.975002,ny_212
40.753734,-73.975002,ny_213
40.752556,-73.975002,ny_214
40.751377,-73.975002,ny_215
40.750199,-73.975002,ny_216
40.74902,-73.975002,ny_217
40.747842,-73.975002,ny_218
40.746663,-73.975002,ny_219
40.745484,-73.975002,ny_220
40.744306,-73.975002,ny_221
40.786723,-73.973433,ny_222
40.785545,-73.973433,ny_223
40.784367,-73.973433,ny_224
40.783189,-73.973433,ny_225
40.782011,-73.973433,ny_226
40.780833,-73.973433,ny_227
40.779655,-73.973433,ny_228
40.778477,-73.973433,ny_229
40.777299,-73.973433,ny_230
40.776121,-73.973433,ny_231
40.774943,-73.973433,ny_232
40.773765,-73.973433,ny_233
40.772587,-73.973433,ny_234
40.771409,-73.973433,ny_235
40.770231,-73.973433,ny_236
40.769052,-73.973433,ny_237
40.767874,-73.973433,ny_238
40.766696,-73.973433,ny_239
40.765518,-73.973433,ny_240
40.764339,-73.973433,ny_241
40.763161,-73.973433,ny_242
40.761983,-73.973433,ny_243
40.760805,-73.973433,ny_244
40.759626,-73.973433,ny_245
40.758448,-73.973433,ny_246
40.757269,-73.973433,ny_247
40.756091,-73.973433,ny_248
40.754913,-73.973433,ny_249
40.753734,-73.973433,ny_250
40.752556,-73.973433,ny_251
40.751377,-73.973433,ny_252
40.750199,-73.973433,ny_253
40.74902,-73.973433,ny_254
40.747842,-73.973433,ny_255
40.746663,-73.973433,ny_256
40.745484,-73.973433,ny_257
40.744306,-73.973433,ny_258
40.786723,-73.971864,ny_259
40.785545,-73.971864,ny_260
40.784367,-73.971864,ny_261
40.783189,-73.971864,ny_262
40.782011,-73.971864,ny_263
40.780833,-73.971864,ny_264
40.779655,-73.971864,ny_265
40.778477,-73.971864,ny_266
40.777299,-73.971864,ny_267
40.776121,-73.971864,ny_268
40.774943,-73.971864,ny_269
40.773765,-73.971864,ny_270
40.772587,-73.971864,ny_271
40.771409,-73.971864,ny_272
40.770231,-73.971864,ny_273
40.769052,-73.971864,ny_274
40.767874,-73.971864,ny_275
40.766696,-73.971864,ny_276
40.765518,-73.971864,ny_277
40.764339,-73.971864,ny_278
40.763161,-73.971864,ny_279
40.761983,-73.971864,ny_280
40.760805,-73.971864,ny_281
40.759626,-73.971864,ny_282
40.758448,-73.971864,ny_283
40.757269,-73.971864,ny_284
40.756091,-73.971864,ny_285
40.754913,-73.971864,ny_286
40.753734,-73.971864,ny_287
40.752556,-73.971864,ny_288
40.751377,-73.971864,ny_289
40.750199,-73.971864,ny_290
40.74902,-73.971864,ny_291
40.747842,-73.971864,ny_292
40.746663,-73.971864,ny_293
40.745484,-73.971864,ny_294
40.744306,-73.971864,ny_295
40.786723,-73.970295,ny_296
40.785545,-73.970295,ny_297
40.784367,-73.970295,ny_298
40.783189,-73.970295,ny_299
40.782011,-73.970295,ny_300
40.780833,-73.970295,ny_301
40.779655,-73.970295,ny_302
40.778477,-73.970295,ny_303
40.777299,-73.970295,ny_304
40.776121,-73.970295,ny_305
40.774943,-73.970295,ny_306
40.773765,-73.970295,ny_307
40.772587,-73.970295,ny_308
40.771409,-73.970295,ny_309
40.770231,-73.970295,ny_310
40.769052,-73.970295,ny_311
40.767874,-73.970295,ny_312
40.766696,-73.970295,ny_313
40.765518,-73.970295,ny_314
40.764339,-73.970295,ny_315
40.763161,-73.970295,ny_316
40.761983,-73.970295,ny_317
40.760805,-73.970295,ny_318
40.759626,-73.970295,ny_319
40.758448,-73.970295,ny_320
40.757269,-73.970295,ny_321
40.756091,-73.970295,ny_322
40.754913,-73.970295,ny_323
40.753734,-73.970295,ny_324
40.752556,-73.970295,ny_325
40.751377,-73.970295,ny_326
40.750199,-73.970295,ny_327
40.74902,-73.970295,ny_328
40.747842,-73.970295,ny_329
40.746663,-73.970295,ny_330
40.745484,-73.970295,ny_331
40.744306,-73.970295,ny_332
40.786723,-73.968726,ny_333
40.785545,-73.968726,ny_334
40.784367,-73.968726,ny_335
40.783189,-73.968726,ny_336
40.782011,-73.968726,ny_337
40.780833,-73.968726,ny_338
